airline,airline_id,source_airport,source_airport_id,dest_airport,dest_airport_id,codeshare,stops,equipment,source_country,dest_country
2G,1654.0,UKX,6924.0,IKT,2937.0,,0,AN4,Russia,Russia
2G,1654.0,ULK,9026.0,IKT,2937.0,,0,AN4,Russia,Russia
2G,1654.0,YKS,2923.0,IKT,2937.0,,0,A81,Russia,Russia
2I,8359.0,AYP,2786.0,LIM,2789.0,,0,142,Peru,Peru
2I,8359.0,CUZ,2812.0,LIM,2789.0,,0,142 141,Peru,Peru
2I,8359.0,CUZ,2812.0,PEM,2808.0,,0,142,Peru,Peru
2I,8359.0,HUU,6067.0,LIM,2789.0,,0,141,Peru,Peru
2I,8359.0,IQT,2801.0,PCL,2781.0,,0,143,Peru,Peru
2I,8359.0,IQT,2801.0,TPP,2806.0,,0,142,Peru,Peru
2I,8359.0,LIM,2789.0,AYP,2786.0,,0,142,Peru,Peru
2I,8359.0,LIM,2789.0,CUZ,2812.0,,0,142 141,Peru,Peru
2I,8359.0,LIM,2789.0,HUU,6067.0,,0,141,Peru,Peru
2I,8359.0,LIM,2789.0,PCL,2781.0,,0,143 146,Peru,Peru
2I,8359.0,LIM,2789.0,TPP,2806.0,,0,142 146,Peru,Peru
2I,8359.0,PCL,2781.0,IQT,2801.0,,0,143,Peru,Peru
2I,8359.0,PCL,2781.0,LIM,2789.0,,0,143 146,Peru,Peru
2I,8359.0,PCL,2781.0,TPP,2806.0,,0,146,Peru,Peru
2I,8359.0,PEM,2808.0,CUZ,2812.0,,0,142,Peru,Peru
2I,8359.0,TPP,2806.0,IQT,2801.0,,0,142,Peru,Peru
2I,8359.0,TPP,2806.0,LIM,2789.0,,0,142 146,Peru,Peru
2I,8359.0,TPP,2806.0,PCL,2781.0,,0,146,Peru,Peru
2J,470.0,ABJ,253.0,BOY,247.0,,0,CRJ,Cote d'Ivoire,Burkina Faso
2J,470.0,ABJ,253.0,OUA,246.0,,0,E70 CRJ M87,Cote d'Ivoire,Burkina Faso
2J,470.0,ACC,248.0,OUA,246.0,,0,CRJ,Ghana,Burkina Faso
2J,470.0,BKO,1044.0,ABJ,253.0,,0,M87,Mali,Cote d'Ivoire
2J,470.0,BKO,1044.0,DKR,1084.0,,0,M87,Mali,Senegal
2J,470.0,BKO,1044.0,OUA,246.0,,0,CRJ,Mali,Burkina Faso
2J,470.0,BOY,247.0,ABJ,253.0,,0,CRJ,Burkina Faso,Cote d'Ivoire
2J,470.0,BOY,247.0,OUA,246.0,,0,CRJ,Burkina Faso,Burkina Faso
2J,470.0,COO,245.0,LFW,298.0,,0,M87,Benin,Togo
2J,470.0,COO,245.0,OUA,246.0,,0,M87,Benin,Burkina Faso
2J,470.0,DKR,1084.0,BKO,1044.0,,0,M87,Senegal,Mali
2J,470.0,DKR,1084.0,OUA,246.0,,0,M87,Senegal,Burkina Faso
2J,470.0,LFW,298.0,OUA,246.0,,0,M87 CRJ,Togo,Burkina Faso
2J,470.0,NIM,280.0,OUA,246.0,,0,CRJ,Niger,Burkina Faso
2J,470.0,OUA,246.0,ABJ,253.0,,0,E70 CRJ M87,Burkina Faso,Cote d'Ivoire
2J,470.0,OUA,246.0,ACC,248.0,,0,CRJ,Burkina Faso,Ghana
2J,470.0,OUA,246.0,BKO,1044.0,,0,M87 CRJ,Burkina Faso,Mali
2J,470.0,OUA,246.0,BOY,247.0,,0,CRJ,Burkina Faso,Burkina Faso
2J,470.0,OUA,246.0,COO,245.0,,0,M87,Burkina Faso,Benin
2J,470.0,OUA,246.0,DKR,1084.0,,0,M87,Burkina Faso,Senegal
2J,470.0,OUA,246.0,LFW,298.0,,0,CRJ,Burkina Faso,Togo
2J,470.0,OUA,246.0,NIM,280.0,,0,CRJ,Burkina Faso,Niger
2K,1338.0,BOG,2709.0,GYE,2673.0,,0,319,Colombia,Ecuador
2K,1338.0,BOG,2709.0,UIO,2688.0,,0,319 320,Colombia,Ecuador
2K,1338.0,CLO,2715.0,GYE,2673.0,,0,319,Colombia,Ecuador
2K,1338.0,GYE,2673.0,BOG,2709.0,,0,319,Ecuador,Colombia
2K,1338.0,GYE,2673.0,CLO,2715.0,,0,319,Ecuador,Colombia
2K,1338.0,GYE,2673.0,SCY,6045.0,,0,319 320,Ecuador,Ecuador
2K,1338.0,GYE,2673.0,UIO,2688.0,,0,320 319,Ecuador,Ecuador
2K,1338.0,OCC,2670.0,UIO,2688.0,,0,319,Ecuador,Ecuador
2K,1338.0,SCY,6045.0,GYE,2673.0,,0,319 320,Ecuador,Ecuador
2K,1338.0,UIO,2688.0,BOG,2709.0,,0,319 320,Ecuador,Colombia
2K,1338.0,UIO,2688.0,GYE,2673.0,,0,319,Ecuador,Ecuador
2K,1338.0,UIO,2688.0,OCC,2670.0,,0,319,Ecuador,Ecuador
2L,2750.0,BDS,1506.0,ZRH,1678.0,,0,100,Italy,Switzerland
2L,2750.0,BOD,1264.0,ZRH,1678.0,,0,100,France,Switzerland
2L,2750.0,BRS,490.0,ZRH,1678.0,,0,100,United Kingdom,Switzerland
2L,2750.0,GVA,1665.0,LPA,1054.0,,0,319,Switzerland,Spain
2L,2750.0,LCA,1197.0,ZRH,1678.0,,0,319,Cyprus,Switzerland
2L,2750.0,LPA,1054.0,ZRH,1678.0,,0,319,Spain,Switzerland
2L,2750.0,RMF,4197.0,ZRH,1678.0,,0,319,Egypt,Switzerland
2L,2750.0,TFS,1056.0,GVA,1665.0,,0,319,Spain,Switzerland
2L,2750.0,ZRH,1678.0,BDS,1506.0,,0,100,Switzerland,Italy
2L,2750.0,ZRH,1678.0,BOD,1264.0,,0,100,Switzerland,France
2L,2750.0,ZRH,1678.0,BRS,490.0,,0,100,Switzerland,United Kingdom
2L,2750.0,ZRH,1678.0,LCA,1197.0,,0,319,Switzerland,Cyprus
2L,2750.0,ZRH,1678.0,LPA,1054.0,,0,319,Switzerland,Spain
2L,2750.0,ZRH,1678.0,RMF,4197.0,,0,319,Switzerland,Egypt
2N,3652.0,AJR,730.0,LYC,719.0,,0,ATP,Sweden,Sweden
2N,3652.0,ARN,737.0,GEV,715.0,,0,ATP,Sweden,Sweden
2N,3652.0,ARN,737.0,HAD,709.0,,0,SF3,Sweden,Sweden
2N,3652.0,ARN,737.0,JKG,688.0,,0,ATP SF3,Sweden,Sweden
2N,3652.0,ARN,737.0,KRF,718.0,,0,ATP,Sweden,Sweden
2N,3652.0,ARN,737.0,KSD,5595.0,,0,SF3,Sweden,Sweden
2N,3652.0,ARN,737.0,LYC,719.0,,0,ATP,Sweden,Sweden
2N,3652.0,ARN,737.0,MHQ,442.0,,0,SF3,Sweden,Finland
2N,3652.0,ARN,737.0,OER,722.0,,0,ATR,Sweden,Sweden
2N,3652.0,ARN,737.0,POR,448.0,,0,SF3,Sweden,Finland
2N,3652.0,ARN,737.0,TRF,664.0,,0,SF3,Sweden,Norway
2N,3652.0,ARN,737.0,VBY,746.0,,0,SF3 ATP,Sweden,Sweden
2N,3652.0,ARN,737.0,VHM,729.0,,0,SF3,Sweden,Sweden
2N,3652.0,ARN,737.0,VXO,711.0,,0,SF3,Sweden,Sweden
2N,3652.0,GEV,715.0,ARN,737.0,,0,ATP,Sweden,Sweden
2N,3652.0,GEV,715.0,KRF,718.0,,0,ATP,Sweden,Sweden
2N,3652.0,HAD,709.0,ARN,737.0,,0,SF3 ATP,Sweden,Sweden
2N,3652.0,HAD,709.0,JKG,688.0,,0,ATP SF3,Sweden,Sweden
2N,3652.0,HAD,709.0,VXO,711.0,,0,SF3,Sweden,Sweden
2N,3652.0,HMV,5599.0,VHM,729.0,,0,SF3,Sweden,Sweden
2N,3652.0,JKG,688.0,ARN,737.0,,0,ATP SF3,Sweden,Sweden
2N,3652.0,JKG,688.0,HAD,709.0,,0,ATP SF3,Sweden,Sweden
2N,3652.0,KOK,435.0,POR,448.0,,0,SF3,Finland,Finland
2N,3652.0,KRF,718.0,ARN,737.0,,0,ATP,Sweden,Sweden
2N,3652.0,KRF,718.0,GEV,715.0,,0,ATP,Sweden,Sweden
2N,3652.0,KSD,5595.0,ARN,737.0,,0,SF3,Sweden,Sweden
2N,3652.0,LYC,719.0,AJR,730.0,,0,ATP,Sweden,Sweden
2N,3652.0,LYC,719.0,ARN,737.0,,0,ATP,Sweden,Sweden
2N,3652.0,MHQ,442.0,ARN,737.0,,0,SF3,Finland,Sweden
2N,3652.0,MHQ,442.0,TKU,460.0,,0,SF3,Finland,Finland
2N,3652.0,OER,722.0,ARN,737.0,,0,ATR,Sweden,Sweden
2N,3652.0,OSL,644.0,VXO,711.0,,0,SF3,Norway,Sweden
2N,3652.0,POR,448.0,ARN,737.0,,0,SF3,Finland,Sweden
2N,3652.0,POR,448.0,KOK,435.0,,0,SF3,Finland,Finland
2N,3652.0,TKU,460.0,MHQ,442.0,,0,SF3,Finland,Finland
2N,3652.0,TRF,664.0,ARN,737.0,,0,SF3,Norway,Sweden
2N,3652.0,VBY,746.0,ARN,737.0,,0,SF3 ATP,Sweden,Sweden
2N,3652.0,VHM,729.0,ARN,737.0,,0,SF3,Sweden,Sweden
2N,3652.0,VHM,729.0,HMV,5599.0,,0,SF3,Sweden,Sweden
2N,3652.0,VXO,711.0,ARN,737.0,,0,SF3,Sweden,Sweden
2N,3652.0,VXO,711.0,OSL,644.0,,0,SF3,Sweden,Norway
2O,146.0,ADQ,3531.0,AOS,7167.0,,0,BNI,United States,
2O,146.0,ADQ,3531.0,KKB,7168.0,,0,BNI,United States,
2O,146.0,ADQ,3531.0,KLN,7162.0,,0,BNI,United States,United States
2O,146.0,ADQ,3531.0,KOZ,7164.0,,0,BNI,United States,
2O,146.0,ADQ,3531.0,OLH,7163.0,,0,BNI,United States,
2O,146.0,AOS,7167.0,KZB,7176.0,,0,BNI,,
2O,146.0,KKB,7168.0,SYB,7173.0,,0,BNI,,
2O,146.0,KLN,7162.0,KYK,7161.0,,0,BNI,United States,United States
2O,146.0,KOZ,7164.0,ORI,7165.0,,0,BNI,,
2O,146.0,SYB,7173.0,KPR,7172.0,,0,BNI,,
2P,897.0,BSO,6019.0,MNL,2397.0,,0,DH4,Philippines,Philippines
2P,897.0,BXU,4200.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,CBO,2399.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,CGY,2400.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,CRM,6024.0,MNL,2397.0,,0,DH4,Philippines,Philippines
2P,897.0,DGT,2425.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,DWC,8076.0,MNL,2397.0,,0,330,United Arab Emirates,Philippines
2P,897.0,GES,2402.0,MNL,2397.0,Y,0,320,Philippines,Philippines
2P,897.0,KLO,2430.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,LGP,4203.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,BSO,6019.0,,0,DH4,Philippines,Philippines
2P,897.0,MNL,2397.0,BXU,4200.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,CBO,2399.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,CGY,2400.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,CRM,6024.0,,0,DH4,Philippines,Philippines
2P,897.0,MNL,2397.0,DGT,2425.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,DWC,8076.0,,0,330,Philippines,United Arab Emirates
2P,897.0,MNL,2397.0,GES,2402.0,Y,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,KLO,2430.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,LGP,4203.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,MPH,2426.0,,0,DH3,Philippines,Philippines
2P,897.0,MNL,2397.0,OZC,4204.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,PPS,2433.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,RXS,6026.0,,0,320,Philippines,Philippines
2P,897.0,MNL,2397.0,SUG,6016.0,,0,DH4,Philippines,Philippines
2P,897.0,MNL,2397.0,TUG,6021.0,,0,DH4,Philippines,Philippines
2P,897.0,MNL,2397.0,ZAM,2404.0,,0,320,Philippines,Philippines
2P,897.0,MPH,2426.0,MNL,2397.0,,0,DH3,Philippines,Philippines
2P,897.0,OZC,4204.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,PPS,2433.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,RXS,6026.0,MNL,2397.0,,0,320,Philippines,Philippines
2P,897.0,SUG,6016.0,MNL,2397.0,,0,DH4,Philippines,Philippines
2P,897.0,TUG,6021.0,MNL,2397.0,,0,DH4,Philippines,Philippines
2P,897.0,ZAM,2404.0,MNL,2397.0,,0,320,Philippines,Philippines
2Z,1729.0,AUX,7376.0,PMW,4214.0,,0,AT7,Brazil,Brazil
2Z,1729.0,BRA,7373.0,BSB,2531.0,,0,AT7,Brazil,Brazil
2Z,1729.0,BRA,7373.0,SSA,2621.0,,0,AT7,Brazil,Brazil
2Z,1729.0,BSB,2531.0,BRA,7373.0,,0,AT7,Brazil,Brazil
2Z,1729.0,BSB,2531.0,OPS,7367.0,,0,AT7,Brazil,Brazil
2Z,1729.0,BSB,2531.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,CAC,2535.0,GRU,2564.0,,0,AT7,Brazil,Brazil
2Z,1729.0,CGB,2548.0,GYN,2562.0,,0,AT7,Brazil,Brazil
2Z,1729.0,CGB,2548.0,OPS,7367.0,,0,AT7,Brazil,Brazil
2Z,1729.0,CGR,2538.0,DOU,7380.0,,0,AT7,Brazil,Brazil
2Z,1729.0,DOU,7380.0,CGR,2538.0,,0,AT7,Brazil,Brazil
2Z,1729.0,DOU,7380.0,GRU,2564.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GIG,2560.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GRU,2564.0,CAC,2535.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GRU,2564.0,DOU,7380.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GRU,2564.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GRU,2564.0,UBA,2635.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GRU,2564.0,UDI,2633.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GRU,2564.0,VDC,6039.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GYN,2562.0,CGB,2548.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GYN,2562.0,PMW,4214.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GYN,2562.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,GYN,2562.0,UDI,2633.0,,0,AT7,Brazil,Brazil
2Z,1729.0,OPS,7367.0,BSB,2531.0,,0,AT7,Brazil,Brazil
2Z,1729.0,OPS,7367.0,CGB,2548.0,,0,AT7,Brazil,Brazil
2Z,1729.0,PLU,2528.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,PMW,4214.0,AUX,7376.0,,0,AT7,Brazil,Brazil
2Z,1729.0,PMW,4214.0,GYN,2562.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,BSB,2531.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,GIG,2560.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,GRU,2564.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,GYN,2562.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,PLU,2528.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,SJP,2619.0,,0,AT7,Brazil,Brazil
2Z,1729.0,RAO,2613.0,UDI,2633.0,,0,AT7,Brazil,Brazil
2Z,1729.0,SJP,2619.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,SSA,2621.0,BRA,7373.0,,0,AT7,Brazil,Brazil
2Z,1729.0,SSA,2621.0,VDC,6039.0,,0,AT7,Brazil,Brazil
2Z,1729.0,UBA,2635.0,GRU,2564.0,,0,AT7,Brazil,Brazil
2Z,1729.0,UBA,2635.0,UDI,2633.0,,0,AT7,Brazil,Brazil
2Z,1729.0,UDI,2633.0,GRU,2564.0,,0,AT7,Brazil,Brazil
2Z,1729.0,UDI,2633.0,GYN,2562.0,,0,AT7,Brazil,Brazil
2Z,1729.0,UDI,2633.0,RAO,2613.0,,0,AT7,Brazil,Brazil
2Z,1729.0,UDI,2633.0,UBA,2635.0,,0,AT7,Brazil,Brazil
2Z,1729.0,VDC,6039.0,GRU,2564.0,,0,AT7,Brazil,Brazil
2Z,1729.0,VDC,6039.0,SSA,2621.0,,0,AT7,Brazil,Brazil
3E,10739.0,BRL,5726.0,ORD,3830.0,,0,CNC,United States,United States
3E,10739.0,BRL,5726.0,STL,3678.0,,0,CNC,United States,United States
3E,10739.0,DEC,4042.0,ORD,3830.0,,0,CNC,United States,United States
3E,10739.0,DEC,4042.0,STL,3678.0,,0,CNC,United States,United States
3E,10739.0,JBR,3591.0,STL,3678.0,,0,CNC,United States,United States
3E,10739.0,ORD,3830.0,BRL,5726.0,,0,CNC,United States,United States
3E,10739.0,ORD,3830.0,DEC,4042.0,,0,CNC,United States,United States
3E,10739.0,STL,3678.0,BRL,5726.0,,0,CNC,United States,United States
3E,10739.0,STL,3678.0,DEC,4042.0,,0,CNC,United States,United States
3E,10739.0,STL,3678.0,JBR,3591.0,,0,CNC,United States,United States
3F,16262.0,CGA,7144.0,HYL,7145.0,,0,DHP,,
3F,16262.0,CGA,7144.0,KTN,3808.0,,0,DHP,,United States
3F,16262.0,HYL,7145.0,CGA,7144.0,,0,DHP,,
3F,16262.0,HYL,7145.0,KTB,7147.0,,0,DHP,,
3F,16262.0,HYL,7145.0,KTN,3808.0,,0,DHP,,United States
3F,16262.0,KTB,7147.0,HYL,7145.0,,0,DHP,,
3F,16262.0,KTB,7147.0,KTN,3808.0,,0,DHP,,United States
3F,16262.0,KTN,3808.0,CGA,7144.0,,0,DHP,United States,
3F,16262.0,KTN,3808.0,HYL,7145.0,,0,DHP,United States,
3F,16262.0,KTN,3808.0,KTB,7147.0,,0,DHP,United States,
3F,16262.0,KTN,3808.0,MTM,7146.0,,0,DHP,United States,United States
3F,16262.0,MTM,7146.0,KTN,3808.0,,0,DHP,United States,United States
3G,595.0,ACC,248.0,DKR,1084.0,,0,319,Ghana,Senegal
3G,595.0,ACC,248.0,LOS,273.0,,0,319,Ghana,Nigeria
3G,595.0,ACC,248.0,ROB,1063.0,,0,319,Ghana,Liberia
3G,595.0,BCN,1218.0,BJL,1050.0,,0,319,Spain,Gambia
3G,595.0,BJL,1050.0,BCN,1218.0,,0,319,Gambia,Spain
3G,595.0,BJL,1050.0,DKR,1084.0,,0,319,Gambia,Senegal
3G,595.0,BJL,1050.0,FNA,1059.0,,0,319,Gambia,Sierra Leone
3G,595.0,CKY,4162.0,OXB,5665.0,,0,319,Guinea,Guinea-Bissau
3G,595.0,DKR,1084.0,ACC,248.0,,0,319,Senegal,Ghana
3G,595.0,DKR,1084.0,BJL,1050.0,,0,319,Senegal,Gambia
3G,595.0,DKR,1084.0,DLA,897.0,,0,319,Senegal,Cameroon
3G,595.0,DKR,1084.0,FNA,1059.0,,0,319,Senegal,Sierra Leone
3G,595.0,DKR,1084.0,LOS,273.0,,0,319,Senegal,Nigeria
3G,595.0,DKR,1084.0,OXB,5665.0,,0,319,Senegal,Guinea-Bissau
3G,595.0,DLA,897.0,DKR,1084.0,,0,319,Cameroon,Senegal
3G,595.0,DLA,897.0,LOS,273.0,,0,319,Cameroon,Nigeria
3G,595.0,FNA,1059.0,BJL,1050.0,,0,319,Sierra Leone,Gambia
3G,595.0,FNA,1059.0,DKR,1084.0,,0,319,Sierra Leone,Senegal
3G,595.0,FNA,1059.0,LGW,502.0,,0,319,Sierra Leone,United Kingdom
3G,595.0,FNA,1059.0,ROB,1063.0,,0,319,Sierra Leone,Liberia
3G,595.0,LGW,502.0,FNA,1059.0,,0,319,United Kingdom,Sierra Leone
3G,595.0,LOS,273.0,ACC,248.0,,0,319,Nigeria,Ghana
3G,595.0,LOS,273.0,DKR,1084.0,,0,319,Nigeria,Senegal
3G,595.0,LOS,273.0,DLA,897.0,,0,319,Nigeria,Cameroon
3G,595.0,LOS,273.0,ROB,1063.0,,0,319,Nigeria,Liberia
3G,595.0,OXB,5665.0,CKY,4162.0,,0,319,Guinea-Bissau,Guinea
3G,595.0,OXB,5665.0,DKR,1084.0,,0,319,Guinea-Bissau,Senegal
3G,595.0,ROB,1063.0,ACC,248.0,,0,319,Liberia,Ghana
3G,595.0,ROB,1063.0,FNA,1059.0,,0,319,Liberia,Sierra Leone
3G,595.0,ROB,1063.0,LOS,273.0,,0,319,Liberia,Nigeria
3H,,AKV,5506.0,YIK,5504.0,,0,DH8,Canada,Canada
3H,,AKV,5506.0,YPX,6727.0,,0,DH8,Canada,Canada
3H,,XGR,5512.0,YVP,154.0,,0,DHT BET,Canada,Canada
3H,,YGL,62.0,YGW,5496.0,,0,DHT,Canada,Canada
3H,,YGL,62.0,YPX,6727.0,,0,73M,Canada,Canada
3H,,YGL,62.0,YUL,146.0,,0,73M,Canada,Canada
3H,,YGW,5496.0,YGL,62.0,,0,DHT,Canada,Canada
3H,,YGW,5496.0,YPH,5520.0,,0,BET,Canada,Canada
3H,,YGW,5496.0,YSK,5529.0,,0,DH8,Canada,Canada
3H,,YGW,5496.0,YUD,5515.0,,0,DH8,Canada,Canada
3H,,YGW,5496.0,YUL,146.0,,0,DH8,Canada,Canada
3H,,YGW,5496.0,YUY,149.0,,0,DH8,Canada,Canada
3H,,YIK,5504.0,AKV,5506.0,,0,DH8,Canada,Canada
3H,,YIK,5504.0,YZG,5535.0,,0,DH8,Canada,Canada
3H,,YKG,5481.0,YPJ,5508.0,,0,DHT DH8,Canada,Canada
3H,,YKG,5481.0,YQC,5499.0,,0,DH8,Canada,Canada
3H,,YKG,5481.0,YVP,154.0,,0,DH8 DHT,Canada,Canada
3H,,YKL,80.0,YQB,111.0,,0,DH8,Canada,Canada
3H,,YKL,80.0,YVP,154.0,,0,DH8 BET,Canada,Canada
3H,,YKL,80.0,YWK,161.0,,0,BET,Canada,Canada
3H,,YKL,80.0,YZV,202.0,,0,BET DH8,Canada,Canada
3H,,YPH,5520.0,YPX,6727.0,,0,DH8 BET,Canada,Canada
3H,,YPH,5520.0,YUD,5515.0,,0,DH8,Canada,Canada
3H,,YPH,5520.0,YVP,154.0,,0,BET,Canada,Canada
3H,,YPJ,5508.0,YKG,5481.0,,0,DHT DH8,Canada,Canada
3H,,YPJ,5508.0,YTQ,6728.0,,0,DHT DH8,Canada,Canada
3H,,YPJ,5508.0,YVP,154.0,,0,DHT,Canada,Canada
